## GRBname 	 Trig_ID 	 Exposure_time 	 15_150kev
GRB111022A	506070	35.28	1.92E-06
GRB111020A	505926	0.432	0.000000063
GRB111018A	505801	41.38	0.000000401
GRB111016A	505646	583.1	0.0000039
GRB111008A	505054	71.42	0.0000052
GRB110928A	504215	28.96	0.000000702
GRB110921A	503652	37.61	0.00000217
GRB110915A	503219	104.7	5.70E-06
GRB110820A	501095	274.4	0.000000817
GRB110808A	458918	45.04	0.000000369
GRB110731A	458448	81.33	0.00000594
GRB110719A	457553	56.08	0.00000191
GRB110709B	456967	881.6	0.0000234
GRB110709A	456939	60.77	0.00000997
GRB110625A	456073	146.5	0.0000281
GRB110530A	454473	66.24	0.000000485
GRB110521A	453788	108	0.000000671
GRB110520A	453747	27.65	0.00000116
GRB110519A	453628	41.91	0.00000397
GRB110503A	452685	210.2	0.0000113
GRB110422A	451901	47.92	3.83E-05
GRB110420A	451757	21.92	0.00000643
GRB110414A	451343	171.3	0.00000348
GRB110412A	451191	27.23	0.00000179
GRB110411A	451165	103.2	3.30E-06
GRB110407A	450884	181.4	1.72E-06
GRB110402A	450545	62.91	0.00000324
GRB110319B	449578001	35.7	0.00000135
GRB110318B	449549	5.38	0.000000287
GRB110318A	449542	23.59	4.93E-06
GRB110315A	449399	105.6	0.00000408
GRB110312A	449074	40.05	0.000000812
GRB110305A	448229	13	0.000000798
GRB110223B	446677	65.1	0.000000611
GRB110223A	446674	8	0.000000167
GRB110213A	445414	64	0.00000597
GRB110212A	445321	4.352	2.39E-07
GRB110210A	445141	210.9	0.00000088
GRB110208A	445038	19.07	0.000000232
GRB110205A	444643	507.4	0.0000158
GRB110128A	443861	16.56	0.000000578
GRB110119A	442978	326	0.00000727
GRB110112A	442039	0.576	2.97E-08
GRB110107A	90978002	86	0.0000056
GRB110106B	441676	53.95	0.00000205
GRB110106A	441664	3	0.000000238
GRB110102A	441454	353.8	0.0000158
GRB101225A	441015	1142	0.0000021
GRB101219B	440635	49.15	0.00000259
GRB101213A	440285	200	0.00000499
GRB101117B	438675	8.276	0.0000011
GRB101114A	438392	3.501	0.000000439
