##GRBname	bestmodel
GRB070412	 PL
GRB070411	 PL
GRB070406	 PL
GRB070330	 N/A
GRB070328	 PL
GRB070326	 PL
GRB070318	 PL
GRB070306	 PL
GRB070227	 N/A
GRB070224	 PL
GRB070223	 PL
GRB070220	 PL
GRB070219	 PL
GRB070209	 PL
GRB070208	 PL
GRB070129	 PL
GRB070126	 N/A
GRB070125	 N/A
GRB070110	 PL
GRB070107	 PL
GRB070103	 PL
GRB061222B	 PL
GRB061222A	 PL
GRB061218	 N/A
GRB061217	 PL
GRB061210	 PL
GRB061202	 N/A
GRB061201	 N/A
GRB061126	 PL
GRB061121	 PL
GRB061110B	 PL
GRB061110A	 PL
GRB061102	 PL
GRB061028	 PL
GRB061027	 PL
GRB061021	 PL
GRB061019	 PL
GRB061007	 PL
GRB061006	 PL
GRB061004	 PL
GRB061002	 PL
GRB060929	 PL
GRB060927	 CPL
GRB060926	 PL
GRB060923C	 PL
GRB060923B	 PL
GRB060923A	 N/A
GRB060919	 N/A
GRB060912A	 PL
GRB060908	 CPL
GRB060906	 PL
GRB060904B	 PL
GRB060904A	 PL
GRB060825	 CPL
GRB060814	 PL
GRB060813	 CPL
GRB060807	 PL
GRB060805A	 PL
GRB060804	 N/A
GRB060801	 N/A
GRB060729	 PL
GRB060728	 PL
GRB060719	 PL
GRB060717	 N/A
GRB060714	 PL
GRB060712	 PL
GRB060708	 PL
GRB060707	 CPL
GRB060614	 CPL
GRB060607B	 PL
GRB060607A	 PL
GRB060605	 N/A
GRB060604	 PL
GRB060602A	 PL
GRB060526	 PL
GRB060522	 PL
GRB060516	 N/A
GRB060515	 PL
GRB060512	 PL
GRB060510B	 PL
GRB060510A	 N/A
GRB060507	 PL
GRB060505	 PL
GRB060502B	 PL
GRB060502A	 PL
GRB060501	 PL
GRB060428B	 PL
GRB060428A	 PL
GRB060427	 PL
GRB060424	 PL
GRB060421	 PL
GRB060418	 PL
GRB060413	 PL
GRB060403	 PL
GRB060323	 PL
GRB060322	 CPL
GRB060319	 PL
GRB060313	 PL
GRB060312	 CPL
GRB060306	 PL
GRB060223B	 PL
GRB060223A	 PL
GRB060219	 PL
GRB060218	 PL
GRB060211B	 PL
GRB060211A	 CPL
GRB060210	 PL
GRB060206	 CPL
GRB060204B	 CPL
GRB060203	 PL
GRB060202	 PL
GRB060124	 PL
GRB060123	 N/A
GRB060117	 N/A
GRB060116	 PL
GRB060115	 CPL
GRB060111B	 PL
GRB060111A	 CPL
GRB060110	 PL
GRB060109	 PL
GRB060108	 PL
GRB060105	 PL
GRB060102	 PL
GRB051227	 PL
GRB051221B	 PL
GRB051221A	 PL
GRB051213	 PL
GRB051210	 PL
GRB051117B	 N/A
GRB051117A	 PL
GRB051114	 PL
GRB051113	 PL
GRB051111	 PL
GRB051109B	 PL
GRB051109A	 PL
GRB051105A	 PL
GRB051021B	 CPL
GRB051016B	 N/A
GRB051016A	 PL
GRB051012	 N/A
GRB051008	 CPL
GRB051006	 N/A
GRB051001	 PL
GRB050925	 N/A
GRB050922C	 PL
GRB050922B	 PL
GRB050916	 PL
GRB050915B	 CPL
GRB050915A	 N/A
GRB050911	 PL
GRB050908	 PL
GRB050906	 PL
GRB050904	 PL
GRB050827	 PL
GRB050826	 PL
GRB050824	 PL
GRB050822	 PL
GRB050820B	 CPL
GRB050820A	 PL
GRB050819	 PL
GRB050815	 PL
GRB050814	 PL
