## GRBname 	 Trig_ID 	 15_150kev 	 Exposure_time 	bestmodel
GRB140709B	603866	4.22E-06	219.2	 PL
GRB140709A	603810	5.42E-06	131.7	 CPL
GRB140706A	603587	1.90E-06	58.74	 PL
GRB140703A	603243	3.88E-06	137.5	 PL
GRB140629A	602884	2.20E-06	54.85	 PL
GRB140628A	602803	1.28E-06	12.36	 PL
GRB140626A	602604	3.53E-07	17.54	 PL
GRB140622A	602278	2.69E-08	0.152	 PL
GRB140619A	602080	2.12E-05	303.7	 PL
GRB140614B	601662	5.30E-07	58.96	 PL
GRB140614A	601646	1.04E-06	96.82	 PL
GRB140611A	601292	 N/A 	 N/A 	 N/A
GRB140610A	601259	5.82E-06	112.4	 PL
GRB140607A	601051	2.11E-06	103.5	 N/A
GRB140606A	600951	5.05E-08	0.392	 PL
GRB140529A	91901003	2.16E-06	13.09	 PL
GRB140521A	599546	9.38E-07	11.3	 PL
GRB140518A	599287	1.06E-06	64.02	 CPL
GRB140516A	599188	2.68E-08	0.32	 PL
GRB140515A	599037	6.19E-07	25.79	 CPL
GRB140512A	598819	1.30E-05	201	 PL
GRB140509A	598497	1.20E-06	26.86	 N/A
GRB140506A	598284	2.66E-06	120.4	 PL
GRB140502A	597841	2.31E-07	19.06	 PL
GRB140430A	597722	1.11E-06	177.9	 PL
GRB140428A	597519	3.07E-07	20.02	 PL
GRB140423A	596901	9.27E-06	239	 PL
GRB140419A	596426	1.57E-05	134	 PL
GRB140414A	84568002	1.24E-07	0.532	 PL
GRB140413A	595616	1.12E-05	164.1	 PL
GRB140412A	595608	7.17E-07	48	 PL
GRB140408A	595141	3.16E-07	4.128	 PL
GRB140402A	594308	5.42E-08	1.408	 PL
GRB140331A	594081	6.60E-07	249.1	 PL
GRB140323A	592916	1.56E-05	135.7	 PL
GRB140320A	592544	2.11E-08	0.64	 PL
GRB140318A	592204	2.80E-07	9.432	 PL
GRB140311B	591392	2.13E-07	3.065	 PL
GRB140311A	591390	2.06E-06	76.67	 PL
GRB140305A	590446	5.23E-07	23.89	 N/A
GRB140304A	590206	1.10E-06	17.31	 CPL
GRB140302A	589685	2.77E-06	116.2	 PL
GRB140301A	589590	4.25E-07	40.8	 PL
GRB140215A	586680	7.27E-06	37.33	 PL
GRB140213A	586569	1.18E-05	87.74	 PL
GRB140211A	586289	1.80E-06	141	 PL
GRB140209A	586071	4.10E-06	27.47	 PL
GRB140206A	585834	1.64E-05	294.4	 CPL
GRB140129B	585149	 N/A 	1.512	 PL
GRB140129A	585128	 N/A 	3	 PL
GRB140118A	584136	2.44E-06	103	 PL
GRB140114A	583861	3.10E-06	183.1	 PL
GRB140108A	583338	7.14E-06	128.2	 PL
GRB140103A	582773	 N/A 	19.46	 N/A
GRB140102A	582760	7.55E-06	131.4	 PL
GRB131229A	582374	6.89E-06	96	 PL
GRB131227A	582184	8.43E-07	20.42	 PL
GRB131226A	582123	4.01E-06	8.96	 PL
GRB131224B	32923023	2.35E-07	9.616	 PL
GRB131205A	580267	1.90E-07	20.76	 PL
GRB131202A	579982	6.04E-07	37.26	 PL
GRB131128A	579683	3.04E-07	3	 PL
GRB131127A	579571	1.88E-06	111.6	 PL
GRB131120A	578227	6.19E-07	135.4	 PL
GRB131117A	577968	2.48E-07	12.42	 PL
GRB131110A	20326002	3.37E-06	84.8	 PL
GRB131105A	576738	 N/A 	 N/A 	 N/A
GRB131103A	576562	7.75E-07	18.54	 PL
GRB131031A	576277	 N/A 	 N/A 	 N/A
GRB131030A	576238	2.90E-05	148.9	 PL
GRB131024B	575754	1.45E-06	109.3	 PL
GRB131024A	575707	1.15E-06	128	 PL
GRB131018A	574935	1.03E-06	96.64	 PL
GRB131004A	573190	 N/A 	2.048	 PL
GRB131002B	572742	6.89E-07	63	 PL
GRB131002A	572721	5.11E-07	59.95	 PL
GRB131001A	82217006	5.16E-07	6	 CPL
GRB130929A	572308	6.47E-07	14.34	 PL
GRB130925A	571830	 N/A 	963	 PL
GRB130919A	571271	1.36E-06	128.2	 CPL
GRB130913A	570531	1.25E-07	10.02	 PL
GRB130912A	570465	1.75E-07	0.316	 PL
GRB130907A	569992	1.36E-04	839.5	 PL
GRB130831B	568855	1.31E-06	44.46	 PL
GRB130831A	568849	6.50E-06	43.23	 PL
GRB130829A	568417	1.24E-06	64.04	 PL
GRB130822A	567163	1.21E-08	0.048	 PL
GRB130816B	566561	2.48E-07	11.4	 PL
GRB130816A	566545	3.92E-07	30.64	 PL
GRB130812A	566228	 N/A 	8.792	 N/A
GRB130807A	565651	2.09E-06	326	 PL
GRB130806A	565562	 N/A 	6.264	 PL
GRB130803A	565263	1.36E-06	45.62	 PL
GRB130727A	564342	3.78E-06	25.46	 PL
GRB130725B	564028	 N/A 	6.28	 PL
GRB130725A	563980	9.86E-07	113.2	 PL
GRB130722A	563213	1.30E-05	257	 PL
GRB130719A	562625	2.10E-06	164.3	 N/A
GRB130716A	561974	3.10E-07	106.7	 PL
GRB130708A	560515	1.04E-06	8.448	 PL
GRB130701A	559482	4.38E-06	6.492	 CPL
GRB130627B	559139	7.58E-07	64	 PL
GRB130627A	559132	6.94E-07	20.32	 N/A
GRB130626A	559075	5.71E-08	0.192	 PL
GRB130625A	558982	1.82E-06	57.76	 PL
GRB130623A	32867001	7.18E-07	19.98	 N/A
GRB130615A	558271	2.00E-06	361.3	 PL
GRB130612A	557976	2.30E-07	4	 N/A
GRB130610A	557845	2.49E-06	69.48	 PL
GRB130609B	557828	1.64E-05	317.7	 PL
GRB130609A	557782	5.42E-07	8.464	 PL
