## GRBname 	 Trig_ID 	 15_150kev 
GRB120215A   	515015	4.75E-08
GRB120213A   	514767	1.03E-07
GRB120212A   	514709	1.09E-07
GRB120211A   	514586	3.61E-08
GRB120121A   	512164	5.82E-08
GRB120119A   	512035	8.79E-07
GRB120118B   	512003	1.38E-07
GRB120116A   	511866	2.19E-07
GRB120114A   	511739	1.02E-07
GRB120106A   	511235	1.22E-07
GRB120102A   	510922	8.74E-07
GRB111229A   	510736	6.89E-08
GRB111228A   	510649	8.06E-07
GRB111225A   	510341	4.43E-08
GRB111215A   	509717	3.98E-08
GRB111212A   	509543	5.77E-08
GRB111210A   	509419	8.74E-08
GRB111209A   	509337	7.59E-08
GRB111208A   	509285	 N/A 
GRB111207A   	509245	3.23E-08
GRB111204A   	509018	1.55E-08
GRB111201A   	508800	5.44E-08
GRB111129A   	508712	5.01E-08
GRB111126A   	48079001	6.38E-08
GRB111123A   	508319	7.33E-08
GRB111121A   	508161	6.84E-07
GRB111117A   	507901	1.50E-07
GRB111109A   	507342	3.64E-08
GRB111107A   	507185	1.12E-07
GRB111103B   	506903	6.29E-07
GRB111103A   	506902	2.75E-07
GRB111029A   	506519	8.31E-08
GRB111026A   	506291	8.60E-08
GRB111022B   	506074	3.43E-08
GRB111022A   	506070	1.68E-07
GRB111020A   	505926	6.83E-08
GRB111018A   	505801	3.03E-08
GRB111016A   	505646	6.84E-08
GRB111008A   	505054	5.41E-07
GRB111005A   	504779	7.12E-08
GRB110928A   	504215	6.76E-08
GRB110921A   	503652	1.83E-07
GRB110915A   	503219	2.69E-07
GRB110827A   	501520	3.11E-08
GRB110820A   	501095	3.20E-08
GRB110818A   	500914	1.41E-07
GRB110808A   	458918	3.81E-08
GRB110801A   	458521	6.58E-08
GRB110731A   	458448	9.13E-07
GRB110726A   	458059	7.19E-08
GRB110719A   	457553	8.77E-08
GRB110715A   	457330	4.30E-06
GRB110709B   	456967	3.19E-07
GRB110709A   	456939	4.78E-07
GRB110625A   	456073	4.26E-06
GRB110610A   	455155	3.37E-07
GRB110604A   	454779	 N/A 
GRB110530A   	454473	3.65E-08
GRB110521A   	453788	4.50E-08
GRB110520A   	453747	9.89E-08
GRB110519A   	453628	2.91E-07
GRB110503A   	452685	2.83E-06
GRB110422A   	451901	2.75E-06
GRB110420B   	451794	6.07E-08
GRB110420A   	451757	9.50E-07
GRB110414A   	451343	9.62E-08
GRB110412A   	451191	1.78E-07
GRB110411A   	451165	9.16E-08
GRB110407A   	450884	4.83E-08
GRB110402A   	450545	3.94E-07
GRB110319B   	449578001	1.06E-07
GRB110319A   	449578	1.08E-07
GRB110318B   	449549	5.88E-08
GRB110318A   	449542	7.12E-07
GRB110315A   	449399	1.21E-07
GRB110312A   	449074	7.67E-08
GRB110305A   	448229	8.68E-08
GRB110223B   	446677	5.30E-08
GRB110223A   	446674	4.39E-08
GRB110213A   	445414	7.15E-08
GRB110212A   	445321	9.78E-08
GRB110210A   	445141	2.06E-08
GRB110208A   	445038	4.79E-08
GRB110207A   	444912	9.98E-08
GRB110205A   	444643	2.54E-07
GRB110201A   	444230	1.17E-07
GRB110128A   	443861	6.43E-08
GRB110119A   	442978	2.17E-07
GRB110112A   	442039	3.32E-08
GRB110107A   	90978002	1.53E-07
GRB110106B   	441676	1.53E-07
GRB110106A   	441664	1.20E-07
GRB110102A   	441454	6.76E-07
GRB101225A   	441015	 N/A 
GRB101224A   	440955	7.28E-08
GRB101219B   	440635	1.15E-07
GRB101219A   	440606	4.24E-07
GRB101213A   	440285	1.98E-07
GRB101204A   	439806	 N/A 
GRB101201A   	439596	 N/A 
GRB101129A   	439471	1.45E-07
GRB101117B   	438675	3.43E-07
GRB101114A   	438392	1.69E-07
GRB101030A   	437408	7.54E-08
GRB101024A   	437016	4.25E-07
